Termo em Inglês	Tradução Correta	Tradução Indesejável
advice (AOP)	adendo	conselho
audio	áudio	audio
Autonomic Computing	Computação Autônoma	Computação Autonômica
assume	"suponha, considere"	assuma
assumption	"pressuposto, suposição, assunção"	
[dynamic] binding	"enlace [dinâmico], associação"	
check	verificar	checar (não é errado)
correctness	correção	corretude
customize	"personalizar, configurar, particularizar"	customizar
crash	cair	
conservative	conservador	conservativo
container	contêiner	container
debug	depurar	debugar
debugger	depurador	debugador (argh!)
debugging	depuração	debugação (sfurtz!)
a dependable system	um sistema no qual se pode confiar (depender)	um sistema dependente
dependability	confiança no funcionamento	dependência
effective	eficaz	efetivo
elicit	"prospectar, eliciar (fig.), coletar, obter, descobrir, extrair, capturar"	elicitar
eventually	"mais cedo ou mais tarde, finalmente, futuramente (algo que vai acontecer eventually, vai acontecer com certeza em algum instante futuro)"	"eventualmente"
eventually	"mais cedo ou mais tarde, finalmente, futuramente (algo que vai acontecer eventually, vai acontecer com certeza em algum instante futuro)"	"possivelmente"
embedded	"embutido (mais correto), embarcado (mais usado)"	embebido
(wave) envelope	envoltória (de onda)	envelope (de onda)
envelope	envolver	envelopar
fault	"falha, falta"	
failure	"defeito, avaria, (falha pode ser usada se o contexto permitir)"	
idiom	expressão idiomática	idioma
indentation	"indentação (prefiro), endentação"	
maintainability	"manutenibilidade, manutenabilidade"	
mandatory	obrigatório	mandatório
membership service	serviço de pertinência	
middleware (plural)	sistemas de middleware	middlewares
mission critical systems	sistemas críticos à missão	"sistemas de missão crítica (não tenho certeza de que está errado, alguma opinião?)"
overload	sobrecarregar	
override	sobrepor	
pervasive computing	computação ubíqua (ubiquitous computing é usado como sinônimo de pervasive computing em 95% dos casos)	"computação pervasiva (a tradução correta seria computação permeada, mas alguns pesquisadores preferem criar o neologismo computação pervasiva)"
plain text	texto puro	texto plano
principal	"sujeito, entidade"	principal
procedural	procedimental	procedural
random	aleatório	randômico
realistic	realista	realístico
request	"requisição, pedido"	
requirements	requisitos	requerimentos
require	"exigir, necessitar, requerer"	
return X	"devolver X, fornecer X"	retornar
return (intransitivo)	"voltar, retornar"	
reuse	reúso	reuso
run (a program)	executar	rodar (aceito informalmente)
safety	segurança no funcionamento	
security	"segurança, segurança no uso"	
serialization	seriação	serialização
system under test	sistema em teste	sistema sob teste
software (plural)	"sistemas de software, programas"	softwares
support	"prover, dar suporte, implementar, incluir, comportar, contemplar, oferecer, disponibilizar"	suportar (não é errado se usado como sinônimo de sustentar; é apenas feio :-)
technical debt	dívida técnica	débito técnico
test-first programming	programação com testes a priori	
test-driven development	desenvolvimento guiado por testes (prefiro) ou desenvolvimento dirigido por testes	
trace	rastrear	
trace	"rastreamento, rastro (?)"	traço (?)
unit tests	testes de unidade	testes unitários (blergt :-)
