termo em inglês	tradução
aspect	aspecto
aspect weaver	combinador
cluster	"aglomerado, agrupamento"
core	núcleo
concern (AOP)	interesse
crosscut	entrecortar
cloud computing	"computação na nuvem, computação em nuvem"
crosscuting concern	interesse transversal (melhor) ou interesse entrecortante
data mining	mineração de dados
data warehouse	"armazém de dados, depósito de dados"
deadlock	"impasse, travamento"
default	"padrão, valor padrão"
the default value is X	"por omissão, considera-se o valor X; o valor padrão é X."
delay	atraso
deployment	implantação
early aspects	aspectos iniciais
eXtreme Programming	Programação eXtrema
file system	sistema de arquivos
framework	arcabouço
Grid	Grade
hack	gambiarra
host	"máquina, hospedeiro, computador"
inter-type declaration	declaração intertipos
job	tarefa
join point	ponto de junção
kernel	núcleo
layout	"leiaute, formato"
lock	bloqueio
name space	espaço de nomes
nested	"aninhado, encaixado"
offset	deslocamento
open source	código aberto
obliviousness	inconsciência
overhead	"custo adicional, carga extra, sobrecarga (alguns pesquisadores não gostam da tradução para sobrecarga (eu gosto :-) pois sobrecarga também é a tradução de overload; use apenas se o sentido estiver claro)"
overlay network	rede sobreposta
parser	"analisador, analisador sintático"
pair programming	programação em pares
payload	carga útil
performance	"desempenho (alguns julgam que performance é aceitável, mas eu não vejo porque usá-la dado que temos desempenho que é tão elegante e funciona tão bem)"
prefetching	"transferência antecipada, busca antecipada"
query	consulta
refactor	"refatorar (vem de fatorar novamente, como na fatoração matemática)"
refactoring	refatoração
router	roteador
separation of concerns	separação de interesses
scattering (AOP)	espalhamento
stakeholders	"interessados, partes interessadas"
switch	comutador [de pacotes]
static/dynamic crosscutting	interesse transversal (ou entrecortante) estático/dinâmico
tangled	"entrelaçado, emaranhado"
tangling	entrelaçamento
theme	tema
throughput	vazão
testbed	ambiente de/para testes
weaving (AOP)	combinação
wrap	"envolver, encapsular"
wrapper	"invólucro, envólucro"
