termo em inglês	poderia traduzir para
assembler	montador
assembly language	linguagem de montagem
bug	erro
browser	navegador
checkpoint	ponto de salvaguarda
commit	"consolidar, consolidação, efetivar (protocolo de efetivação em 2 fases)"
design	projeto (ou desenho em alguns casos)
deprecatedn	preterido
dummy-object	objeto fantoche
email	"correio eletrônico, mensagem"
hash table	"tabela de espalhamento, tabela de dispersão, tabela de hash"
hash function	"função de espalhamento, função de resumo criptográfico ou, simplesmente, resumo criptográfico"
hop	salto
I/O	E/S
linker	ligador
log	registro
multi-threaded	"múltiplos fluxos de execução, múltiplas linhas de execução"
page fault	falta de página
patch	"remendo, componente de atualização"
peer	par
peer-to-peer	par-a-par
pipe	duto
polling	"varredura, consulta periódica"
proxy	"procurador, representante"
round-robin	rodízio
round-robin	rodízio
site	sítio
starvation	inanição
string	"cadeia de caracteres, cadeia"
template	"gabarito, modelo, molde"
thread	"fluxo de execução, linha de execução, processo leve"
trade-off	"dicotomia (mais ou menos), o melhor é explicar a relação por extenso"
vendor lock-in	aprisionamento tecnológico
web	"teia, Web (com inicial maiúscula é o correto quando considerado como nome próprio; assim como Internet, dispensa itálico)"
